graph_label,graph_seed,num_nodes,density,source,target,algorithm,run,time_ms,nodes_expanded,path_cost
large,3,1000,0.05,472,911,dijkstra_bidireccional,3,4.861125,431,0.694977
large,3,1000,0.05,756,124,dijkstra,1,7.803083,985,1.047463
large,3,1000,0.05,756,124,dijkstra,2,7.166791,985,1.047463
large,3,1000,0.05,756,124,dijkstra,3,6.983750,985,1.047463
large,3,1000,0.05,756,124,astar,1,0.201667,5,1.047463
large,3,1000,0.05,756,124,astar,2,0.185459,5,1.047463
large,3,1000,0.05,756,124,astar,3,0.165541,5,1.047463
large,3,1000,0.05,756,124,dijkstra_bidireccional,1,6.706791,738,1.062808
large,3,1000,0.05,756,124,dijkstra_bidireccional,2,7.564750,738,1.062808
large,3,1000,0.05,756,124,dijkstra_bidireccional,3,7.417084,738,1.062808
large,3,1000,0.05,346,893,dijkstra,1,1.445334,181,0.310470
large,3,1000,0.05,346,893,dijkstra,2,1.661542,181,0.310470
large,3,1000,0.05,346,893,dijkstra,3,1.432709,181,0.310470
large,3,1000,0.05,346,893,astar,1,0.520000,14,0.310470
large,3,1000,0.05,346,893,astar,2,0.411625,14,0.310470
large,3,1000,0.05,346,893,astar,3,0.397834,14,0.310470
large,3,1000,0.05,346,893,dijkstra_bidireccional,1,0.869542,56,0.310470
large,3,1000,0.05,346,893,dijkstra_bidireccional,2,0.808708,56,0.310470
large,3,1000,0.05,346,893,dijkstra_bidireccional,3,0.795167,56,0.310470
